"species";"origin";"virus";"temperature";"dpi";"n_total_specimens";"n_positive_bodies";"n_positive_legs";"n_positive_saliva";"IR";"DR";"TR";"TE";"titre_mean";"titre_sd";"IR_out";"DR_out";"TR_out";"TE_out";"titre_out"
"1";"Culex pipiens molestus";"lab colony (origin south germany)";"WNV";18;"14 dpi";29;0;0;0;0;NA;NA;0;NA;NA;"0.0 (0/29)";"NaN (0/0)";"NaN (0/0)";"0.0 (0/29)";"NaN (NA)"
"2";"Culex pipiens molestus";"lab colony (origin south germany)";"WNV";18;"21 dpi";29;1;0;0;3.448275862;0;0;0;4.477121255;NA;"3.4 (1/29)";"0.0 (0/1)";"0.0 (0/1)";"0.0 (0/29)";"4.5 (NA)"
"3";"Culex pipiens molestus";"lab colony (origin south germany)";"WNV";24;"14 dpi";31;0;0;0;0;NA;NA;0;NA;NA;"0.0 (0/31)";"NaN (0/0)";"NaN (0/0)";"0.0 (0/31)";"NaN (NA)"
"4";"Culex pipiens molestus";"lab colony (origin south germany)";"WNV";24;"21 dpi";31;1;0;0;3.225806452;0;0;0;4.615423953;NA;"3.2 (1/31)";"0.0 (0/1)";"0.0 (0/1)";"0.0 (0/31)";"4.6 (NA)"
"5";"Culex pipiens molestus";"lab colony (origin south germany)";"WNV";27;"14 dpi";31;0;0;0;0;NA;NA;0;NA;NA;"0.0 (0/31)";"NaN (0/0)";"NaN (0/0)";"0.0 (0/31)";"NaN (NA)"
"6";"Culex pipiens molestus";"lab colony (origin south germany)";"WNV";27;"21 dpi";62;4;0;1;6.451612903;0;25;1.612903226;5.404932972;2.242489693;"6.4 (4/62)";"0.0 (1/4)";"25.0 (1/4)";"1.6 (1/62)";"5.4 (2.2)"
"7";"Culex pipiens pipiens";"North germany";"WNV";18;"14 dpi";32;1;0;0;3.125;0;0;0;4.065392962;NA;"3.1 (1/32)";"0.0 (0/1)";"0.0 (0/1)";"0.0 (0/32)";"4.1 (NA)"
"8";"Culex pipiens pipiens";"North germany";"WNV";18;"21 dpi";33;2;0;0;6.060606061;0;0;0;3.59472761;0.029269048;"6.1 (2/33)";"0.0 (0/2)";"0.0 (0/2)";"0.0 (0/33)";"3.6 (0.0)"
"9";"Culex pipiens pipiens";"North germany";"WNV";21;"14 dpi";30;1;0;0;3.333333333;0;0;0;6.051152522;NA;"3.3 (1/30)";"0.0 (0/1)";"0.0 (0/1)";"0.0 (0/30)";"6.0 (NA)"
"10";"Culex pipiens pipiens";"North germany";"WNV";21;"21 dpi";31;3;0;0;9.677419355;0;0;0;5.885749417;1.288759211;"9.7 (3/31)";"0.0 (0/3)";"0.0 (0/3)";"0.0 (0/31)";"5.9 (1.3)"
"11";"Culex pipiens pipiens";"North germany";"WNV";24;"14 dpi";30;1;0;0;3.333333333;0;0;0;7.68797462;NA;"3.3 (1/30)";"0.0 (0/1)";"0.0 (0/1)";"0.0 (0/30)";"7.7 (NA)"
"12";"Culex pipiens pipiens";"North germany";"WNV";24;"21 dpi";31;7;0;1;22.58064516;0;14.28571429;3.225806452;6.781278162;1.133467398;"22.6 (7/31)";"0.0 (1/7)";"14.3 (1/7)";"3.2 (1/31)";"6.8 (1.1)"
"13";"Culex pipiens pipiens";"North germany";"WNV";27;"14 dpi";35;0;0;0;0;NA;NA;0;NA;NA;"0.0 (0/35)";"NaN (0/0)";"NaN (0/0)";"0.0 (0/35)";"NaN (NA)"
"14";"Culex pipiens pipiens";"North germany";"WNV";27;"21 dpi";33;3;0;1;9.090909091;0;33.33333333;3.03030303;4.296352156;0.440179214;"9.1 (3/33)";"0.0 (1/3)";"33.3 (1/3)";"3.0 (1/33)";"4.3 (0.4)"
"15";"Culex torrentium";"North germany";"WNV";18;"14 dpi";32;2;0;0;6.25;0;0;0;5.038996048;0.145999086;"6.2 (2/32)";"0.0 (0/2)";"0.0 (0/2)";"0.0 (0/32)";"5.0 (0.1)"
"16";"Culex torrentium";"North germany";"WNV";18;"21 dpi";33;5;0;0;15.15151515;0;0;0;4.492209439;0.487847416;"15.2 (5/33)";"0.0 (0/5)";"0.0 (0/5)";"0.0 (0/33)";"4.5 (0.5)"
"17";"Culex torrentium";"North germany";"WNV";21;"14 dpi";31;0;0;0;0;NA;NA;0;NA;NA;"0.0 (0/31)";"NaN (0/0)";"NaN (0/0)";"0.0 (0/31)";"NaN (NA)"
"18";"Culex torrentium";"North germany";"WNV";21;"21 dpi";32;4;0;0;12.5;0;0;0;6.487811072;1.46501579;"12.5 (4/32)";"0.0 (0/4)";"0.0 (0/4)";"0.0 (0/32)";"6.5 (1.5)"
"19";"Culex torrentium";"North germany";"WNV";24;"14 dpi";31;2;0;0;6.451612903;0;0;0;6.877758779;0.80798794;"6.4 (2/31)";"0.0 (0/2)";"0.0 (0/2)";"0.0 (0/31)";"6.9 (0.8)"
"20";"Culex torrentium";"North germany";"WNV";24;"21 dpi";29;8;0;5;27.5862069;0;62.5;17.24137931;7.405928321;1.06753479;"27.6 (8/29)";"0.0 (5/8)";"62.5 (5/8)";"17.2 (5/29)";"7.4 (1.1)"
"21";"Culex torrentium";"North germany";"WNV";27;"14 dpi";34;11;0;1;32.35294118;0;9.090909091;2.941176471;5.465332887;1.13763946;"32.4 (11/34)";"0.0 (1/11)";"9.1 (1/11)";"2.9 (1/34)";"5.5 (1.1)"
"22";"Culex torrentium";"North germany";"WNV";27;"21 dpi";38;10;0;9;26.31578947;0;90;23.68421053;5.167764549;1.09723823;"26.3 (10/38)";"0.0 (9/10)";"90.0 (9/10)";"23.7 (9/38)";"5.2 (1.1)"
